# SWANTBLS data generated by SLADE 3
# on Fri Jun 21 20:21:41 2024
#
# This file is input for SWANTBLS.EXE, it specifies the switchnames
# and animated textures and flats usable with BOOM. The output of
# SWANTBLS is two lumps, SWITCHES.LMP and ANIMATED.LMP that should
# be inserted in the PWAD as lumps.
#
#animated flats, spd is number of frames between changes
[FLATS]
#spd    last        first
8       NUKAGE3     NUKAGE1     
8       FWATER4     FWATER1     
8       SWATER4     SWATER1     
8       LAVA4       LAVA1       
8       BLOOD3      BLOOD1      
8       RROCK08     RROCK05     
8       SLIME04     SLIME01     
8       SLIME08     SLIME05     
8       SLIME12     SLIME09     
#animated textures, spd is number of frames between changes
[TEXTURES]
#spd    last        first
8       BLODGR4     BLODGR1     
8       SLADRIP3    SLADRIP1    
8       BLODRIP4    BLODRIP1    
8       FIREWALL    FIREWALA    
8       GSTFONT3    GSTFONT1    
8       FIRELAVA    FIRELAV3    
8       FIREMAG3    FIREMAG1    
8       FIREBLU2    FIREBLU1    
8       ROCKRED3    ROCKRED1    
8       BFALL4      BFALL1      
8       SFALL4      SFALL1      
8       WFALL4      WFALL1      
8       DBRAIN4     DBRAIN1     
#animated flats, spd is number of frames between changes
[FLATS]
#spd    last        first
8       FLTWAWA3    FLTWAWA1    
8       FLTSLUD3    FLTSLUD1    
6       FLTTELE4    FLTTELE1    
9       FLTFLWW3    FLTFLWW1    
8       FLTLAVA4    FLTLAVA1    
8       FLATHUH4    FLATHUH1    
#animated textures, spd is number of frames between changes
[TEXTURES]
#spd    last        first
6       LAVAFL3     LAVAFL1     
4       WATRWAL3    WATRWAL1    
#animated flats, spd is number of frames between changes
[FLATS]
#spd    last        first
4       F_SCANR8    F_SCANR5    
8       F_WATR03    F_WATR01    
11      F_PWATR3    F_PWATR1    
4       F_SCANR4    F_SCANR1    
#animated textures, spd is number of frames between changes
[TEXTURES]
#spd    last        first
4       SCAN08      SCAN05      
4       SWTRMG03    SWTRMG01    
4       SCAN04      SCAN01      
4       COMP04      COMP01      
6       COMP08      COMP05      
11      COMP12      COMP09      
12      COMP16      COMP13      
12      COMP20      COMP17      
12      COMP24      COMP21      
12      COMP28      COMP25      
12      COMP32      COMP29      
12      COMP37      COMP33      
12      COMP41      COMP38      
10      COMP49      COMP42      
10      BRKGRY16    BRKGRY13    
10      BRNSCN04    BRNSCN01    
11      CONCRT12    CONCRT09    
11      CONCRT25    CONCRT22    
16      WALPMP02    WALPMP01    
8       WALTEK17    WALTEK16    
4       FORCE04     FORCE01     
4       FORCE08     FORCE05     
4       FAN02       FAN01       
#animated flats, spd is number of frames between changes
[FLATS]
#spd    last        first
4       F_VWATR3    P_VWATR1    
4       F_HWATR3    F_HWATR1    
4       F_TELE2     F_TELE1     
4       F_FAN2      F_FAN1      
4       F_CONVY2    F_CONVY1    
4       F_RDALN4    F_RDALN1    
8       AQNUKE4     AQNUKE1     
8       AQSLIME4    AQSLIME1    
8       AQGWAT4     AQGWAT1     
8       AQOWAT4     AQOWAT1     
8       AQWATER4    AQWATER1    
8       AQELEC4     AQELEC1     
8       AQLAVA4     AQLAVA1     
